Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Kids,tvui,profileSelectionTransitionAnimation,,,2023-12-24 09:55:41
Kids,tvui,browseTitles,,,2023-12-24 09:55:41
Kids,tvui,profilesGate,,,2023-12-24 09:55:40
Kids,tvui,profileSelectionTransitionAnimation,,,2023-12-24 09:55:40
Kids,tvui,movieDetails,,,2023-12-22 18:43:24
Kids,tvui,profilesGate,,,2023-12-22 18:43:24
Kids,tvui,playback,,,2023-12-22 18:13:24
Kids,tvui,movieDetails,,,2023-12-22 18:13:24
Kids,tvui,movieDetails,,,2023-12-22 18:03:02
Kids,tvui,playback,,,2023-12-22 18:03:02
Kids,tvui,browseTitles,,,2023-12-22 18:02:58
Kids,tvui,movieDetails,,,2023-12-22 18:02:58
Kids,tvui,browseTitles,,,2023-12-22 18:02:39
Kids,tvui,profileSelectionTransitionAnimation,,,2023-12-22 18:02:39
Kids,tvui,profilesGate,,,2023-12-22 18:02:37
Kids,tvui,profileSelectionTransitionAnimation,,,2023-12-22 18:02:37
Kids,tvui,profilesGate,,,2023-12-22 18:02:25
Kids,tvui,movieDetails,,,2023-12-14 19:38:55
Kids,tvui,browseTitles,,,2023-12-14 19:38:55
Kids,tvui,movieDetails,,,2023-12-14 19:38:54
Kids,tvui,playback,,,2023-12-14 19:38:54
Kids,tvui,playback,,,2023-12-14 19:38:22
Kids,tvui,movieDetails,,,2023-12-14 19:38:22
Kids,tvui,browseTitles,,,2023-12-14 19:38:21
Kids,tvui,movieDetails,,,2023-12-14 19:38:21
Kids,tvui,browseTitles,,,2023-12-14 19:38:07
Kids,tvui,profileSelectionTransitionAnimation,,,2023-12-14 19:38:07
Kids,tvui,profilesGate,,,2023-12-14 19:38:06
Kids,tvui,profileSelectionTransitionAnimation,,,2023-12-14 19:38:06
Kids,tvui,profilesGate,,,2023-12-02 22:09:56
Kids,tvui,playback,,,2023-12-02 11:37:45
Kids,tvui,movieDetails,,,2023-12-02 11:37:45
Kids,tvui,postPlay,,,2023-12-02 11:09:25
Kids,tvui,playback,,,2023-12-02 11:09:25
Kids,tvui,playback,,,2023-12-02 11:09:09
Kids,tvui,postPlay,,,2023-12-02 11:09:09
Kids,tvui,postPlay,,,2023-12-02 10:48:19
Kids,tvui,playback,,,2023-12-02 10:48:19
Kids,tvui,playback,,,2023-12-02 10:48:04
