Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Redona,AL,Android Phone,0,fair,Fair Play,add,title_results,2023-11-04 13:40:13
Redona,AL,Android Phone,0,fair,Fair Play,select,title_results,2023-11-04 13:40:03
Redona,AL,Android Phone,0,reptile,Reptile,add,title_results,2023-11-04 13:39:55
Redona,AL,Android Phone,0,reptile,Reptile,select,title_results,2023-11-04 13:39:40
Redona,AL,Android Phone,0,nowhere,Nowhere,add,title_results,2023-11-04 13:39:28
Redona,AL,Android Phone,0,nowhere,Nowhere,select,title_results,2023-11-04 13:39:16
Redona,AL,Android Phone,0,garf,,add,title_results,2023-10-29 14:02:07
Redona,AL,Android Phone,0,garf,,select,title_results,2023-10-29 14:02:03
Redona,AL,Android Phone,0,beck,,add,title_results,2023-10-15 14:10:35
Redona,AL,Android Phone,0,beck,,select,title_results,2023-10-15 14:10:33
Redona,AL,Android Phone,0,women ,,add,title_results,2023-10-06 18:52:44
Redona,AL,Android Phone,0,women ,,select,title_results,2023-10-06 18:52:36
Redona,AL,Android Phone,0,the last zar,,add,title_results,2023-10-06 18:52:09
Redona,AL,Android Phone,0,the last zar,,select,title_results,2023-10-06 18:52:03
Redona,AL,Android Phone,0,lid,Keep a Lid on It,select,title_results,2023-10-06 18:51:39
Redona,AL,Android Phone,0,lid,,add,title_results,2023-10-06 18:51:32
Redona,AL,Android Phone,0,lid,,select,title_results,2023-10-06 18:51:26
Redona,AL,Android Phone,0,baz,,add,title_results,2023-09-29 18:51:12
Redona,AL,Android Phone,0,baz,,select,title_results,2023-09-29 18:51:09
Redona,AL,Android Phone,0,the deepest ,The Deepest Breath,add,title_results,2023-08-11 14:15:55
Redona,AL,Android Phone,0,the deepest ,The Deepest Breath,select,title_results,2023-08-11 14:15:54
Redona,AL,Android Phone,0,gossip,,add,title_results,2023-08-01 15:19:42
Redona,AL,Android Phone,0,gossip,,select,title_results,2023-08-01 15:19:37
Redona,AL,Android Phone,0,mati,Roald Dahl's Matilda The Musical,add,title_results,2023-06-02 14:07:43
Redona,AL,Android Phone,0,mati,Roald Dahl's Matilda The Musical,select,title_results,2023-06-02 14:07:31
Redona,AL,Android Phone,0,mati,Matilda,select,title_results,2023-06-02 14:07:28
Redona,AL,Android Phone,0,cleo,,add,title_results,2023-05-21 13:03:28
Redona,AL,Android Phone,0,cleo,,select,title_results,2023-05-21 13:03:23
Redona,AL,Android Phone,0,fire,,add,title_results,2023-05-19 20:41:10
Redona,AL,Android Phone,0,fire,,select,title_results,2023-05-19 20:41:06
Redona,AL,Android Phone,0,night in paradi,Night in Paradise,select,title_results,2023-05-13 14:02:33
Redona,AL,Android Phone,0,blackfish,Blackfish,select,title_results,2023-04-08 13:50:47
Redona,AL,Android Phone,0,black,Black,select,title_results,2023-04-08 13:49:41
Redona,AL,HTML 5,0,colors of love,Colors of Love,play,title_results,2023-02-11 14:43:12
Redona,AL,HTML 5,0,colors of love,Colors of Love,play,title_results,2023-02-11 14:43:12
Redona,AL,iPhone,0,the week,The Week Of,play,title_results,2023-01-18 20:25:22
Redona,AL,iPhone,0,the week,The Week Of,select,title_results,2023-01-18 20:25:19
Redona,AL,iPhone,0,the sea inside,,select,title_results,2023-01-18 20:18:30
Redona,AL,iPhone,0,the sea inside,Paddleton,select,title_results,2023-01-18 20:18:02
Redona,AL,iPhone,0,,Dog Gone,play,prequery_results,2023-01-15 13:45:03
Redona,AL,iPhone,0,,Dog Gone,select,prequery_results,2023-01-15 13:45:00
Redona,AL,iPhone,0,ok,Okja,add,title_results,2022-12-31 15:01:21
Redona,AL,iPhone,0,ok,Okja,select,title_results,2022-12-31 15:01:08
Redona,AL,iPhone,0,christma,A Christmas Prince,select,title_results,2022-12-23 17:47:51
Redona,AL,iPhone,0,christma,A Christmas Prince,select,title_results,2022-12-23 17:47:47
Redona,AL,iPhone,0,christma,Return to Christmas Creek,select,title_results,2022-12-23 17:47:19
Redona,AL,iPhone,0,christma,A Christmas Prince,select,title_results,2022-12-23 17:47:07
Redona,AL,iPhone,0,christma,Falling for Christmas,select,title_results,2022-12-23 17:46:53
Redona,AL,iPhone,0,natale a cin,The Price of Family,select,title_results,2022-12-23 15:10:39
Redona,AL,iPhone,0,natale a cin,The Price of Family,select,title_results,2022-12-23 15:10:10
Redona,AL,iPhone,0,natale a cin,5 Star Christmas,select,title_results,2022-12-23 15:10:03
Redona,AL,iPhone,0,natale a cin,5 Star Christmas,add,title_results,2022-12-23 15:09:34
Redona,AL,iPhone,0,natale a cin,5 Star Christmas,select,title_results,2022-12-23 15:09:30
Redona,AL,iPhone,0,the watc,,add,title_results,2022-12-10 20:41:00
Redona,AL,iPhone,0,the watc,,select,title_results,2022-12-10 20:40:12
Redona,AL,iPhone,0,news ,News of the World,add,title_results,2022-11-19 20:58:33
Redona,AL,iPhone,0,news ,News of the World,select,title_results,2022-11-19 20:58:19
Redona,AL,iPhone,0,adore,The Choice,select,title_results,2022-11-12 15:41:51
Redona,AL,iPhone,0,the empres,,add,title_results,2022-10-09 12:54:59
Redona,AL,iPhone,0,the empres,,select,title_results,2022-10-09 12:54:53
Redona,AL,iPhone,0,high notr,The High Note,add,title_results,2022-10-08 13:44:06
Redona,AL,iPhone,0,high notr,The High Note,select,title_results,2022-10-08 13:44:00
