Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Kids,The SpongeBob SquarePants Movie_hook_primary_16x9,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:06,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1022,""mediaOffsetMs"":0}]"
Kids,Netflix Original Trailer: Pretty Guardian Sailor Moon Eternal The Movie,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:37,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1345,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":28811,""mediaOffsetMs"":27241},{""eventType"":""stopped"",""sessionOffsetMs"":30087,""mediaOffsetMs"":27391}]"
Kids,Carmen Sandiego: Season 1 (Trailer),Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:36,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1261,""mediaOffsetMs"":0}]"
Kids,Trailer: Pokémon Concierge,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:35,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1145,""mediaOffsetMs"":0}]"
Kids,Limited Series Trailer: A Tale Dark & Grimm,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:29,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1500,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4341,""mediaOffsetMs"":2616},{""eventType"":""stopped"",""sessionOffsetMs"":5625,""mediaOffsetMs"":2848}]"
Kids,Trailer: Rise of the Teenage Mutant Ninja Turtles: The Movie,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:28,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1214,""mediaOffsetMs"":0}]"
Kids,Season 8 Trailer: Gabby's Dollhouse,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:27,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":917},{""eventType"":""stopped"",""sessionOffsetMs"":891,""mediaOffsetMs"":917}]"
Kids,Trailer: Chupa,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:26,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":899,""mediaOffsetMs"":0}]"
Kids,Tarzan and Jane (Trailer),Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:22,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1586,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3459,""mediaOffsetMs"":1808},{""eventType"":""stopped"",""sessionOffsetMs"":4719,""mediaOffsetMs"":1866}]"
Kids,Trailer: Life on Our Planet,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:41:21,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":7425},{""eventType"":""stopped"",""sessionOffsetMs"":611,""mediaOffsetMs"":7425}]"
