Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Evis,NFCDCH-02-HT4RFDJH20FACXJDPUN09GKETJY49J,Chrome PC (Cadmium),2021-11-15T13:34:30.496,2021-12-08T08:14:11.657,,,2021-11-15T13:34:30.496,2021-12-08T08:14:11.657,,,1970-01-01T00:00:00.000
Evis,NFCDCH-02-HN5XRDQWP7HT0WEHX3JQAXV4XA2N1T,Chrome PC (Cadmium),2021-09-28T11:05:57.417,2021-11-14T12:37:00.633,2021-11-14T12:37:00.633,2021-11-14T12:37:00.633,2021-09-28T11:05:57.417,2021-11-14T12:37:00.633,2021-11-14T12:37:00.633,2021-11-14T12:37:00.633,1970-01-01T00:00:00.000
Redona,NFANDROID1-PRV-B-L3-MTK==SMART=TV-4445-05EFC691513F0CAB3C171B2F07B11CD9E40B01A1975C3314A5B9BED9A5D486547,Netflix Android STB L3 Android,2022-02-06T18:11:50.747,2024-03-03T13:49:35.529,2022-02-06T18:11:50.747,2024-03-03T13:49:35.529,2022-02-06T18:11:50.747,2024-03-03T13:49:35.529,2022-02-06T18:11:50.747,2024-03-03T13:49:35.529,
Redona,NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-605B8FECCE2AA36436E7679FE94425B3B0692B6B106BFB530F40A2AABDD69180,DefaultWidevineAndroidPhone,2024-02-09T20:07:56.424,2024-03-02T15:02:38.943,2024-02-16T19:59:35.711,2024-03-02T15:02:38.943,2024-02-09T20:07:56.424,2024-03-02T15:02:38.943,2024-02-16T19:59:35.711,2024-03-02T15:02:38.943,
Kids,SSTVNLC1==0000000000000001486580,Samsung CE 2023 NikeL QLED TV Smart TV,2024-01-03T19:55:45.276,2024-02-21T20:23:27.952,2024-01-04T16:37:19.449,2024-02-21T20:23:27.952,2024-01-03T19:55:45.276,2024-02-21T20:23:27.952,2024-01-04T16:37:19.449,2024-02-21T20:23:27.952,
Redona,NFCDCH-02-KHLLHGEG65D383VGVFYDWLKP7VJ1A7,Chrome PC (Cadmium),2023-10-17T20:01:57.232,2024-03-04T20:56:36.641,2023-11-07T15:03:39.067,2024-03-04T20:21:53.920,2023-12-27T19:31:58.324,2024-02-19T21:10:34.342,2024-02-19T17:44:54.526,2024-02-19T21:10:34.342,
Redona,NFANDROID1-PRV-B-L3-MTK==SMART=TV-4445-0D662D62228C64570C484F190478592757D4697B13E4050C53AD66B4A328A91DE,Netflix Android STB L3 Android,2023-10-17T20:05:09.047,2024-02-28T15:55:40.438,2023-10-17T20:05:09.047,2024-02-28T15:55:40.438,2023-10-17T20:05:09.047,2024-02-01T19:22:18.572,2023-10-17T20:05:09.047,2024-02-01T19:22:18.572,
Redona,NFANDROID1-PRV-P-GOOGLPIXEL=7-26924-CCEC0EF217C2B4D3F74C91AFF1F462B9EB140F5E8541C3AF99B1D806D42DB453,DefaultWidevineAndroidPhone,2023-03-30T16:36:13.923,2024-02-09T06:09:14.446,2023-03-30T16:36:13.923,2024-02-09T06:09:14.446,2023-04-08T13:50:08.091,2024-01-31T19:58:17.308,2023-04-08T13:50:08.091,2024-01-31T19:56:21.092,
Redona,LGTV20193=31004023203,LG 2019 RTK K5Lp Standard UHD TV Smart TV,2021-09-04T19:25:55.036,2024-01-02T21:54:58.718,2021-10-24T11:24:20.900,2024-01-02T21:54:58.718,2022-12-12T19:38:53.062,2024-01-02T21:54:58.718,2024-01-02T21:54:58.718,2024-01-02T21:54:58.718,
Kids,LGTV20193=31004023203,LG 2019 RTK K5Lp Standard UHD TV Smart TV,2021-09-04T19:25:55.036,2024-01-02T21:54:58.718,2021-10-24T11:24:20.900,2024-01-02T21:54:58.718,2021-10-24T11:25:49.004,2023-12-31T15:29:05.889,2021-10-27T20:05:25.086,2023-12-31T15:29:05.889,
Redona,NFCDCH-02-K93WE2KJKQ4GCDRUW46VUF8KFRLJW2,Chrome PC (Cadmium),2023-06-20T18:38:37.304,2023-08-28T16:05:37.302,2023-06-20T18:38:37.304,2023-08-28T16:05:37.302,2023-08-21T13:54:28.927,2023-08-21T13:54:28.927,2023-08-21T13:54:28.927,2023-08-21T13:54:28.927,
Kids,NFANDROID1-PRV-B-L3-MTK==SMART=TV-4445-05EFC691513F0CAB3C171B2F07B11CD9E40B01A1975C3314A5B9BED9A5D486547,Netflix Android STB L3 Android,2022-02-06T18:11:50.747,2024-03-03T13:49:35.529,2022-02-06T18:11:50.747,2024-03-03T13:49:35.529,2023-06-09T15:23:59.571,2023-07-18T14:07:03.129,2023-06-09T15:23:59.571,2023-07-18T14:07:03.129,
